             x                 y                 z              cell   
       0.015625          0.015625          0.046875               160 
       0.015625          0.046875          0.046875               161 
       0.046875          0.046875          0.046875               162 
     -0.0078125        -0.0234375        -0.0234375               163 
     -0.0234375        -0.0078125        -0.0234375               164 
     -0.0078125        -0.0078125        -0.0234375               165 
     -0.0234375        -0.0234375        -0.0078125               166 
     -0.0078125        -0.0234375        -0.0078125               167 
     -0.0234375        -0.0078125        -0.0078125               168 
     -0.0078125        -0.0078125        -0.0078125               169 
      0.0078125        -0.0234375        -0.0234375               170 
      0.0078125        -0.0078125        -0.0234375               171 
      0.0234375        -0.0078125        -0.0234375               172 
      0.0078125        -0.0234375        -0.0078125               173 
      0.0234375        -0.0234375        -0.0078125               174 
      0.0078125        -0.0078125        -0.0078125               175 
      0.0234375        -0.0078125        -0.0078125               176 
     -0.0234375         0.0078125        -0.0234375               177 
     -0.0078125         0.0078125        -0.0234375               178 
     -0.0234375         0.0234375        -0.0234375               179 
     -0.0078125         0.0234375        -0.0234375               180 
     -0.0234375         0.0078125        -0.0078125               181 
     -0.0078125         0.0078125        -0.0078125               182 
     -0.0234375         0.0234375        -0.0078125               183 
     -0.0078125         0.0234375        -0.0078125               184 
      0.0078125         0.0078125        -0.0234375               185 
      0.0078125         0.0234375        -0.0234375               186 
      0.0078125         0.0078125        -0.0078125               187 
      0.0234375         0.0078125        -0.0078125               188 
      0.0078125         0.0234375        -0.0078125               189 
      0.0234375         0.0234375        -0.0078125               190 
     -0.0234375        -0.0234375         0.0078125               191 
     -0.0078125        -0.0234375         0.0078125               192 
     -0.0234375        -0.0078125         0.0078125               193 
     -0.0078125        -0.0078125         0.0078125               194 
     -0.0078125        -0.0234375         0.0234375               195 
     -0.0234375        -0.0078125         0.0234375               196 
     -0.0078125        -0.0078125         0.0234375               197 
      0.0078125        -0.0234375         0.0078125               198 
      0.0234375        -0.0234375         0.0078125               199 
      0.0078125        -0.0078125         0.0078125               200 
      0.0234375        -0.0078125         0.0078125               201 
      0.0078125        -0.0234375         0.0234375               202 
      0.0234375        -0.0234375         0.0234375               203 
      0.0078125        -0.0078125         0.0234375               204 
      0.0234375        -0.0078125         0.0234375               205 
     -0.0234375         0.0078125         0.0078125               206 
     -0.0078125         0.0078125         0.0078125               207 
     -0.0234375         0.0234375         0.0078125               208 
     -0.0078125         0.0234375         0.0078125               209 
     -0.0078125         0.0078125         0.0234375               210 
     -0.0078125         0.0234375         0.0234375               211 
      0.0078125         0.0078125         0.0078125               212 
      0.0234375         0.0078125         0.0078125               213 
      0.0078125         0.0234375         0.0078125               214 
      0.0234375         0.0234375         0.0078125               215 
      0.0078125         0.0078125         0.0234375               216 
      0.0234375         0.0078125         0.0234375               217 
      0.0234375         0.0234375         0.0234375               218 
     -0.0117188        -0.0117188        -0.0117188               219 
    -0.00390625        -0.0117188        -0.0117188               220 
     -0.0117188       -0.00390625        -0.0117188               221 
    -0.00390625       -0.00390625        -0.0117188               222 
     -0.0117188        -0.0117188       -0.00390625               223 
    -0.00390625        -0.0117188       -0.00390625               224 
     -0.0117188       -0.00390625       -0.00390625               225 
    -0.00390625       -0.00390625       -0.00390625               226 
     0.00390625        -0.0195312        -0.0117188               227 
      0.0117188        -0.0195312        -0.0117188               228 
     0.00390625        -0.0273438       -0.00390625               229 
      0.0117188        -0.0273438       -0.00390625               230 
     0.00390625        -0.0195312       -0.00390625               231 
      0.0117188        -0.0195312       -0.00390625               232 
     0.00390625        -0.0117188        -0.0117188               233 
      0.0117188        -0.0117188        -0.0117188               234 
     0.00390625       -0.00390625        -0.0117188               235 
      0.0117188       -0.00390625        -0.0117188               236 
     0.00390625        -0.0117188       -0.00390625               237 
      0.0117188        -0.0117188       -0.00390625               238 
     0.00390625       -0.00390625       -0.00390625               239 
      0.0117188       -0.00390625       -0.00390625               240 
    -0.00390625        0.00390625        -0.0273438               241 
     -0.0117188         0.0117188        -0.0273438               242 
    -0.00390625         0.0117188        -0.0273438               243 
     -0.0117188        0.00390625        -0.0195312               244 
    -0.00390625        0.00390625        -0.0195312               245 
     -0.0117188         0.0117188        -0.0195312               246 
    -0.00390625         0.0117188        -0.0195312               247 
     -0.0195312        0.00390625        -0.0117188               248 
     -0.0273438         0.0117188        -0.0117188               249 
     -0.0195312         0.0117188        -0.0117188               250 
     -0.0195312        0.00390625       -0.00390625               251 
     -0.0273438         0.0117188       -0.00390625               252 
     -0.0117188        0.00390625        -0.0117188               253 
    -0.00390625        0.00390625        -0.0117188               254 
     -0.0117188         0.0117188        -0.0117188               255 
    -0.00390625         0.0117188        -0.0117188               256 
     -0.0117188        0.00390625       -0.00390625               257 
    -0.00390625        0.00390625       -0.00390625               258 
     -0.0117188         0.0117188       -0.00390625               259 
    -0.00390625         0.0117188       -0.00390625               260 
     -0.0117188         0.0195312        -0.0117188               261 
    -0.00390625         0.0195312        -0.0117188               262 
     -0.0117188         0.0273438        -0.0117188               263 
    -0.00390625         0.0273438        -0.0117188               264 
     -0.0117188         0.0195312       -0.00390625               265 
    -0.00390625         0.0195312       -0.00390625               266 
    -0.00390625         0.0273438       -0.00390625               267 
     0.00390625        0.00390625        -0.0273438               268 
      0.0117188        0.00390625        -0.0273438               269 
     0.00390625         0.0117188        -0.0273438               270 
     0.00390625        0.00390625        -0.0195312               271 
      0.0117188        0.00390625        -0.0195312               272 
     0.00390625         0.0117188        -0.0195312               273 
      0.0117188         0.0117188        -0.0195312               274 
     0.00390625        0.00390625        -0.0117188               275 
      0.0117188        0.00390625        -0.0117188               276 
     0.00390625         0.0117188        -0.0117188               277 
      0.0117188         0.0117188        -0.0117188               278 
     0.00390625        0.00390625       -0.00390625               279 
      0.0117188        0.00390625       -0.00390625               280 
     0.00390625         0.0117188       -0.00390625               281 
      0.0117188         0.0117188       -0.00390625               282 
     -0.0273438        -0.0117188        0.00390625               283 
     -0.0195312        -0.0117188        0.00390625               284 
     -0.0195312       -0.00390625        0.00390625               285 
     -0.0195312        -0.0117188         0.0117188               286 
     -0.0273438       -0.00390625         0.0117188               287 
     -0.0117188        -0.0117188        0.00390625               288 
    -0.00390625        -0.0117188        0.00390625               289 
     -0.0117188       -0.00390625        0.00390625               290 
    -0.00390625       -0.00390625        0.00390625               291 
     -0.0117188        -0.0117188         0.0117188               292 
    -0.00390625        -0.0117188         0.0117188               293 
     -0.0117188       -0.00390625         0.0117188               294 
    -0.00390625       -0.00390625         0.0117188               295 
     0.00390625        -0.0117188        0.00390625               296 
      0.0117188        -0.0117188        0.00390625               297 
     0.00390625       -0.00390625        0.00390625               298 
      0.0117188       -0.00390625        0.00390625               299 
     0.00390625        -0.0117188         0.0117188               300 
     0.00390625       -0.00390625         0.0117188               301 
      0.0117188       -0.00390625         0.0117188               302 
     -0.0117188        0.00390625        0.00390625               303 
    -0.00390625        0.00390625        0.00390625               304 
     -0.0117188         0.0117188        0.00390625               305 
    -0.00390625         0.0117188        0.00390625               306 
     -0.0117188        0.00390625         0.0117188               307 
    -0.00390625        0.00390625         0.0117188               308 
     -0.0117188         0.0117188         0.0117188               309 
    -0.00390625         0.0117188         0.0117188               310 
     0.00390625        0.00390625        0.00390625               311 
      0.0117188        0.00390625        0.00390625               312 
     0.00390625         0.0117188        0.00390625               313 
      0.0117188         0.0117188        0.00390625               314 
     0.00390625        0.00390625         0.0117188               315 
      0.0117188        0.00390625         0.0117188               316 
     0.00390625         0.0117188         0.0117188               317 
      0.0117188         0.0117188         0.0117188               318 
      0.0195312        0.00390625        0.00390625               319 
      0.0273438        0.00390625        0.00390625               320 
      0.0195312         0.0117188        0.00390625               321 
      0.0273438         0.0117188        0.00390625               322 
      0.0195312        0.00390625         0.0117188               323 
      0.0195312         0.0117188         0.0117188               324 
     0.00390625         0.0195312        0.00390625               325 
      0.0117188         0.0195312        0.00390625               326 
      0.0117188         0.0273438        0.00390625               327 
     0.00390625         0.0195312         0.0117188               328 
      0.0117188         0.0195312         0.0117188               329 
     0.00390625         0.0273438         0.0117188               330 
      0.0117188         0.0273438         0.0117188               331 
    -0.00585938       -0.00585938        -0.0136719               332 
    -0.00195312       -0.00585938        -0.0136719               333 
    -0.00585938       -0.00585938       -0.00976562               334 
    -0.00195312       -0.00585938       -0.00976562               335 
    -0.00585938       -0.00195312       -0.00976562               336 
    -0.00195312       -0.00195312       -0.00976562               337 
    -0.00585938        -0.0136719       -0.00585938               338 
    -0.00195312        -0.0136719       -0.00585938               339 
    -0.00585938       -0.00976562       -0.00585938               340 
    -0.00195312        -0.0136719       -0.00195312               341 
    -0.00585938       -0.00976562       -0.00195312               342 
    -0.00195312       -0.00976562       -0.00195312               343 
     -0.0136719       -0.00585938       -0.00585938               344 
    -0.00976562       -0.00585938       -0.00585938               345 
     -0.0136719       -0.00195312       -0.00585938               346 
    -0.00976562       -0.00195312       -0.00585938               347 
    -0.00976562       -0.00585938       -0.00195312               348 
     -0.0136719       -0.00195312       -0.00195312               349 
    -0.00976562       -0.00195312       -0.00195312               350 
    -0.00585938       -0.00585938       -0.00585938               351 
    -0.00195312       -0.00585938       -0.00585938               352 
    -0.00585938       -0.00195312       -0.00585938               353 
    -0.00195312       -0.00195312       -0.00585938               354 
    -0.00585938       -0.00585938       -0.00195312               355 
    -0.00195312       -0.00585938       -0.00195312               356 
    -0.00585938       -0.00195312       -0.00195312               357 
    -0.00195312       -0.00195312       -0.00195312               358 
     0.00585938       -0.00585938        -0.0136719               359 
     0.00195312       -0.00195312        -0.0136719               360 
     0.00585938       -0.00195312        -0.0136719               361 
     0.00195312       -0.00585938       -0.00976562               362 
     0.00585938       -0.00585938       -0.00976562               363 
     0.00195312       -0.00195312       -0.00976562               364 
     0.00585938       -0.00195312       -0.00976562               365 
     0.00195312       -0.00976562       -0.00585938               366 
     0.00585938       -0.00976562       -0.00585938               367 
     0.00195312       -0.00976562       -0.00195312               368 
     0.00585938       -0.00976562       -0.00195312               369 
     0.00195312       -0.00585938       -0.00585938               370 
     0.00585938       -0.00585938       -0.00585938               371 
     0.00195312       -0.00195312       -0.00585938               372 
     0.00585938       -0.00195312       -0.00585938               373 
     0.00195312       -0.00585938       -0.00195312               374 
     0.00585938       -0.00585938       -0.00195312               375 
     0.00195312       -0.00195312       -0.00195312               376 
     0.00585938       -0.00195312       -0.00195312               377 
     0.00976562       -0.00585938       -0.00585938               378 
      0.0136719       -0.00585938       -0.00585938               379 
     0.00976562       -0.00195312       -0.00585938               380 
      0.0136719       -0.00195312       -0.00585938               381 
     0.00976562       -0.00585938       -0.00195312               382 
      0.0136719       -0.00585938       -0.00195312               383 
     0.00976562       -0.00195312       -0.00195312               384 
      0.0136719       -0.00195312       -0.00195312               385 
    -0.00585938        0.00195312        -0.0136719               386 
    -0.00585938        0.00585938        -0.0136719               387 
